Date,Price,Open,High,Low,Vol.,Change %
08-02-2022,62.28,62,63,61.55,65.67K,0.83%
09-02-2022,62.77,62.5,63,62.01,156.23K,0.79%
10-02-2022,62.8,63,64.9,62.2,341.08K,0.05%
11-02-2022,62.36,62.98,62.98,62.02,671.00K,-0.70%
14-02-2022,64.09,62.4,66.4,62.4,755.94K,2.77%
15-02-2022,63.19,64.2,64.69,63.1,998.50K,-1.40%
16-02-2022,63.24,63.3,63.39,62.85,257.82K,0.08%
17-02-2022,63.87,64,64.39,63.1,366.06K,1.00%
18-02-2022,63.79,64,64.49,63.61,479.09K,-0.13%
21-02-2022,63.42,63.99,63.99,63.25,174.11K,-0.58%
22-02-2022,64.29,63.5,64.55,63.5,482.15K,1.37%
23-02-2022,64.08,64.29,64.45,64,518.11K,-0.33%
24-02-2022,66.98,64.15,67.49,64.15,851.37K,4.53%
25-02-2022,64.68,66.98,66.98,64.51,473.54K,-3.43%
28-02-2022,64.85,65,65.68,64.7,278.82K,0.26%
02-03-2022,67.09,66.6,67.38,66.6,671.24K,3.45%
03-03-2022,67.48,67.3,68,67.03,278.65K,0.58%
04-03-2022,67.52,67.6,67.99,67.22,572.95K,0.06%
07-03-2022,70.37,67.6,70.9,67.6,2.52M,4.22%
08-03-2022,70.56,71.2,71.97,69.1,1.56M,0.27%
09-03-2022,70.65,71.58,74,70.13,3.07M,0.13%
10-03-2022,68.5,68.5,69.7,67.5,1.85M,-3.04%
11-03-2022,69.47,68.7,69.95,68.7,450.95K,1.42%
14-03-2022,68.49,69.99,69.99,67.9,766.74K,-1.41%
15-03-2022,66.96,68,68,66.89,1.21M,-2.23%
16-03-2022,67.14,66.96,67.2,66.87,421.07K,0.27%
17-03-2022,67.55,68.25,68.25,67.2,498.31K,0.61%
21-03-2022,67.35,67.75,67.75,67.02,495.03K,-0.30%
22-03-2022,67.47,67.8,68.49,67.27,901.53K,0.18%
23-03-2022,67.34,67.3,67.4,66.7,705.06K,-0.19%
24-03-2022,67.52,67.8,67.88,67.3,180.51K,0.27%
25-03-2022,68.6,67.8,68.68,67.8,973.09K,1.60%
28-03-2022,67.35,67,68.19,67,482.80K,-1.82%
29-03-2022,66.39,67.5,67.5,66.32,709.26K,-1.43%
30-03-2022,66.65,66.66,66.87,66.25,296.24K,0.39%
31-03-2022,66.3,66.65,66.68,65.81,1.51M,-0.53%
01-04-2022,66.72,66.6,66.96,66.55,290.91K,0.63%
04-04-2022,66.54,66.98,66.98,66,563.05K,-0.27%
05-04-2022,66.15,66.5,66.5,65.9,587.45K,-0.59%
06-04-2022,65.98,66,66.05,65.46,448.93K,-0.26%
07-04-2022,66.04,66.25,66.5,65.71,490.41K,0.09%
08-04-2022,66.48,66.38,66.55,66.06,268.06K,0.67%
11-04-2022,67.35,66.69,67.45,66.4,316.12K,1.31%
12-04-2022,67.4,68,68,67.26,915.73K,0.07%
13-04-2022,69,67.8,69.15,67.8,812.05K,2.37%
18-04-2022,69.62,68.31,69.99,68.31,940.47K,0.90%
19-04-2022,69.6,69.88,69.98,69.31,579.14K,-0.03%
20-04-2022,68.06,69.18,69.18,67.86,707.14K,-2.21%
21-04-2022,67.46,68.2,68.2,67.35,581.10K,-0.88%
22-04-2022,66.33,67.83,67.83,66.15,1.23M,-1.68%
25-04-2022,65.31,66.33,66.33,65.2,1.24M,-1.54%
