"Date","Price","Open","High","Low","Vol.","Change %"
"30-12-2022","82.717","82.787","82.829","82.539","","-0.05%"
"29-12-2022","82.758","82.847","82.901","82.754","","0.03%"
"28-12-2022","82.736","82.840","82.930","82.747","","-0.11%"
"27-12-2022","82.830","82.675","82.909","82.655","","0.22%"
"26-12-2022","82.650","82.775","82.847","82.627","","-0.16%"
"23-12-2022","82.780","82.880","82.902","82.742","","-0.22%"
"22-12-2022","82.960","82.825","82.989","82.643","","0.10%"
"21-12-2022","82.880","82.730","82.933","82.654","","0.34%"
"20-12-2022","82.600","82.582","82.885","82.564","","-0.06%"
"19-12-2022","82.649","82.775","82.832","82.565","","-0.07%"
"16-12-2022","82.706","82.865","82.897","82.626","","-0.17%"
"15-12-2022","82.843","82.537","82.993","82.415","","0.45%"
"14-12-2022","82.474","82.610","82.715","82.402","","0.12%"
"13-12-2022","82.375","82.662","82.922","82.373","","-0.31%"
"12-12-2022","82.634","82.434","82.745","82.423","","0.27%"
"09-12-2022","82.410","82.244","82.509","82.086","","0.16%"
"08-12-2022","82.280","82.267","82.477","82.253","","0.09%"
"07-12-2022","82.204","82.422","82.783","82.188","","-0.33%"
"06-12-2022","82.480","81.904","82.643","81.897","","0.72%"
"05-12-2022","81.890","81.255","81.910","81.195","","0.59%"
"02-12-2022","81.410","81.165","81.527","81.082","","0.36%"
"01-12-2022","81.120","81.151","81.336","80.985","","-0.29%"
"30-11-2022","81.359","81.645","81.650","81.271","","-0.31%"
"29-11-2022","81.616","81.549","81.758","81.541","","-0.03%"
"28-11-2022","81.640","81.814","81.846","81.518","","-0.06%"
"25-11-2022","81.685","81.671","81.754","81.432","","0.09%"
"24-11-2022","81.613","81.633","81.777","81.588","","0.01%"
"23-11-2022","81.604","81.719","81.934","81.628","","-0.13%"
"22-11-2022","81.714","81.728","81.830","81.580","","0.02%"
"21-11-2022","81.699","81.672","81.927","81.579","","0.10%"
"18-11-2022","81.617","81.530","81.800","81.505","","0.13%"
"17-11-2022","81.510","81.453","81.854","81.422","","0.04%"
"16-11-2022","81.480","81.105","81.574","81.105","","0.52%"
"15-11-2022","81.061","80.992","81.449","80.703","","0.12%"
"14-11-2022","80.965","80.525","81.299","80.510","","0.61%"
"11-11-2022","80.477","80.565","80.996","80.483","","-0.19%"
"10-11-2022","80.630","81.444","81.930","80.632","","-0.87%"
"09-11-2022","81.335","81.340","81.628","81.210","","-0.04%"
"08-11-2022","81.370","81.832","82.034","81.241","","-0.53%"
"07-11-2022","81.804","82.075","82.324","81.809","","-0.19%"
"04-11-2022","81.962","82.690","82.740","81.970","","-0.93%"
"03-11-2022","82.731","82.894","82.996","82.693","","0.02%"
"02-11-2022","82.712","82.682","82.818","82.609","","0.08%"
"01-11-2022","82.650","82.817","82.826","82.494","","-0.14%"
"31-10-2022","82.770","82.386","82.877","82.316","","0.62%"
"28-10-2022","82.261","82.364","82.518","82.269","","-0.13%"
"27-10-2022","82.368","82.031","82.574","82.017","","0.57%"
"26-10-2022","81.901","82.445","82.539","81.961","","-0.74%"
"25-10-2022","82.515","82.755","82.859","82.413","","-0.28%"
"24-10-2022","82.744","82.603","82.884","82.572","","0.26%"
"21-10-2022","82.529","82.836","83.104","82.539","","-0.35%"
"20-10-2022","82.820","82.991","83.268","82.526","","-0.23%"
"19-10-2022","83.013","82.271","83.101","82.260","","0.88%"
"18-10-2022","82.291","82.134","82.381","81.998","","0.15%"
"17-10-2022","82.171","82.400","82.418","82.081","","-0.21%"
"14-10-2022","82.340","82.182","82.423","82.101","","0.20%"
"13-10-2022","82.172","82.179","82.660","82.100","","0.02%"
"12-10-2022","82.159","82.238","82.365","82.151","","-0.12%"
"11-10-2022","82.256","82.397","82.497","82.084","","-0.14%"
"10-10-2022","82.370","82.680","82.695","82.236","","-0.54%"
"07-10-2022","82.820","82.264","82.820","82.089","","0.93%"
"06-10-2022","82.060","81.515","82.298","81.460","","0.53%"
"05-10-2022","81.631","81.454","81.711","81.303","","0.22%"
"04-10-2022","81.451","81.490","81.680","81.265","","-0.05%"
"03-10-2022","81.494","81.504","81.923","81.480","","-0.02%"
"30-09-2022","81.509","81.473","81.710","81.142","","0.06%"
"29-09-2022","81.461","81.565","81.943","81.456","","0.07%"
"28-09-2022","81.406","81.850","82.005","81.338","","-0.37%"
"27-09-2022","81.705","81.352","81.772","81.277","","0.12%"
"26-09-2022","81.610","81.310","81.704","81.310","","0.44%"
"23-09-2022","81.250","81.025","81.266","80.760","","0.25%"
"22-09-2022","81.047","80.206","81.130","80.177","","1.43%"
"21-09-2022","79.907","79.760","80.056","79.730","","0.20%"
"20-09-2022","79.751","79.650","79.771","79.575","","0.07%"
"19-09-2022","79.693","79.686","79.818","79.569","","0.01%"
"16-09-2022","79.686","79.832","79.858","79.566","","-0.19%"
"15-09-2022","79.839","79.490","79.846","79.428","","0.51%"
"14-09-2022","79.431","79.566","79.620","79.349","","-0.18%"
"13-09-2022","79.577","79.375","79.607","78.998","","0.29%"
"12-09-2022","79.350","79.648","79.720","79.273","","-0.36%"
"09-09-2022","79.635","79.656","79.665","79.434","","-0.04%"
"08-09-2022","79.667","79.635","79.835","79.626","","0.05%"
"07-09-2022","79.630","79.908","79.974","79.594","","-0.30%"
"06-09-2022","79.870","79.803","79.916","79.735","","0.11%"
"05-09-2022","79.783","79.925","79.927","79.752","","0.08%"
"02-09-2022","79.717","79.710","79.914","79.604","","0.06%"
"01-09-2022","79.673","79.535","79.740","79.281","","0.23%"
"31-08-2022","79.491","79.707","79.717","79.415","","-0.22%"
"30-08-2022","79.665","79.968","79.985","79.417","","-0.36%"
"29-08-2022","79.954","79.989","80.135","79.892","","-0.01%"
"26-08-2022","79.961","79.883","79.983","79.709","","0.12%"
"25-08-2022","79.862","79.811","80.006","79.749","","0.10%"
"24-08-2022","79.780","79.875","79.900","79.691","","-0.08%"
"23-08-2022","79.847","79.875","79.919","79.682","","0.00%"
"22-08-2022","79.850","79.905","79.930","79.769","","-0.09%"
"19-08-2022","79.920","79.775","79.943","79.698","","0.21%"
"18-08-2022","79.750","79.405","79.765","79.372","","0.50%"
"17-08-2022","79.350","79.166","79.514","79.155","","0.13%"
"16-08-2022","79.248","79.550","79.605","79.250","","-0.34%"
"15-08-2022","79.518","79.654","79.658","79.459","","-0.15%"
"12-08-2022","79.641","79.610","79.759","79.590","","0.08%"
"11-08-2022","79.580","79.066","79.695","79.066","","0.62%"
"10-08-2022","79.090","79.560","79.613","79.018","","-0.59%"
"09-08-2022","79.563","79.582","79.661","79.497","","-0.03%"
