"Date","Price","Open","High","Low","Vol.","Change %"
"30-07-1999","43.350","43.360","43.417","43.350","","0.05%"
"29-07-1999","43.330","43.380","43.490","43.330","","0.00%"
"28-07-1999","43.330","43.385","43.402","43.310","","0.01%"
"27-07-1999","43.325","43.275","43.387","43.275","","0.09%"
"26-07-1999","43.285","43.275","43.325","43.225","","0.08%"
"23-07-1999","43.250","43.250","43.570","43.230","","0.00%"
"22-07-1999","43.250","43.300","43.362","43.250","","0.17%"
"21-07-1999","43.175","43.225","43.335","43.175","","-0.08%"
"20-07-1999","43.210","43.250","43.267","43.200","","0.01%"
"19-07-1999","43.205","43.245","43.302","43.195","","-0.14%"
"16-07-1999","43.265","43.265","43.350","43.265","","-0.01%"
"15-07-1999","43.270","43.250","43.317","43.200","","0.05%"
"14-07-1999","43.250","43.250","43.297","43.220","","0.03%"
"13-07-1999","43.235","43.225","43.260","43.175","","0.08%"
"12-07-1999","43.200","43.250","43.350","43.200","","-0.23%"
"09-07-1999","43.300","43.400","43.455","43.300","","-0.29%"
"08-07-1999","43.425","43.325","43.485","43.325","","0.16%"
"07-07-1999","43.355","43.315","43.420","43.295","","0.13%"
"06-07-1999","43.300","43.320","43.380","43.250","","0.13%"
"05-07-1999","43.245","43.335","43.335","43.220","","-0.32%"
"02-07-1999","43.385","43.365","43.457","43.365","","0.00%"
"01-07-1999","43.385","43.365","43.445","43.365","","0.01%"
"30-06-1999","43.380","43.425","43.435","43.370","","-0.05%"
"29-06-1999","43.400","43.450","43.480","43.400","","0.06%"
"28-06-1999","43.375","43.405","43.447","43.325","","0.07%"
"25-06-1999","43.345","43.355","43.525","43.120","","0.00%"
"24-06-1999","43.345","43.395","43.442","43.345","","0.27%"
"23-06-1999","43.230","43.250","43.347","43.200","","0.07%"
"22-06-1999","43.200","43.250","43.300","43.200","","0.03%"
"21-06-1999","43.185","43.175","43.240","43.095","","0.09%"
"18-06-1999","43.145","43.115","43.177","43.015","","-0.02%"
"17-06-1999","43.155","43.125","43.195","43.025","","0.07%"
"16-06-1999","43.125","43.315","43.315","43.075","","-0.46%"
"15-06-1999","43.325","43.155","43.345","43.125","","0.35%"
"14-06-1999","43.175","43.125","43.245","43.125","","0.28%"
"11-06-1999","43.055","43.005","43.085","42.985","","0.10%"
"10-06-1999","43.010","43.050","43.100","42.960","","-0.12%"
"09-06-1999","43.060","42.940","43.410","42.910","","0.20%"
"08-06-1999","42.975","42.995","43.055","42.875","","0.00%"
"07-06-1999","42.975","42.935","43.040","42.895","","0.09%"
"04-06-1999","42.935","42.885","42.945","42.855","","0.02%"
"03-06-1999","42.925","42.965","43.017","42.875","","0.00%"
"02-06-1999","42.925","43.005","43.020","42.875","","-0.05%"
"01-06-1999","42.945","42.915","42.975","42.765","","0.22%"
"31-05-1999","42.850","43.000","43.000","42.850","","-0.46%"
"28-05-1999","43.050","43.200","43.270","43.050","","-0.40%"
"27-05-1999","43.225","42.965","43.325","42.965","","0.88%"
"26-05-1999","42.850","42.800","42.930","42.800","","0.29%"
"25-05-1999","42.725","42.775","42.827","42.675","","0.00%"
"24-05-1999","42.725","42.775","42.822","42.675","","0.00%"
"21-05-1999","42.725","42.785","42.845","42.675","","0.00%"
"20-05-1999","42.725","42.725","42.862","42.675","","0.00%"
"19-05-1999","42.725","42.775","42.815","42.675","","0.00%"
"18-05-1999","42.725","42.765","42.812","42.675","","0.00%"
"17-05-1999","42.725","42.775","42.847","42.675","","-0.13%"
"14-05-1999","42.780","42.760","42.824","42.760","","0.13%"
"13-05-1999","42.725","42.785","42.850","42.675","","0.00%"
"12-05-1999","42.725","42.775","42.847","42.725","","0.06%"
"11-05-1999","42.700","42.790","42.840","42.700","","-0.06%"
"10-05-1999","42.725","42.775","42.805","42.725","","0.00%"
"07-05-1999","42.725","42.765","42.820","42.675","","-0.08%"
"06-05-1999","42.760","42.740","42.782","42.640","","0.08%"
"05-05-1999","42.725","42.775","42.825","42.725","","-0.07%"
